"probe","MeanDecreaseGini"
"X211748_x_at",3.83820173350944
"X210890_x_at",3.60322320293965
"X1560758_at",3.52499976663388
"X239726_at",3.36554514631266
"X1558588_at",3.2729696876193
"X232204_at",2.68370743927447
"X212187_x_at",2.61656342195619
"X203658_at",2.43228992544127
"X203942_s_at",2.28370400811863
"X213697_at",2.01862808278657
"X217682_at",1.97744119139643
"X220404_at",1.89919185458484
"X203104_at",1.85351821154084
"X1558011_at",1.83272614461223
"X216676_x_at",1.64075590313708
"X212085_at",1.56661439086632
"X200727_s_at",1.47509378629699
"X217992_s_at",1.45135267850642
"X201341_at",1.43424742207629
"X208637_x_at",1.3875257623287
"X215806_x_at",1.31935823911468
"X226071_at",1.2728240989495
"X215838_at",1.26284814335184
"X231628_s_at",1.20099361257497
"X202510_s_at",1.18629741493227
"X208721_s_at",1.17295884723878
"X205495_s_at",1.1688520024986
"X1557954_at",1.15936376541825
"X218251_at",1.14414512591385
"X226895_at",1.1319779646681
"X37408_at",1.09734978110789
"X222218_s_at",1.06583776017641
"X210504_at",1.02881766514911
"X201053_s_at",1.02619992840913
"X208050_s_at",1.0097749416372
"X221999_at",1.00423825609681
"X1559502_s_at",1.00159932540227
"X210215_at",0.99774950488012
"X206380_s_at",0.973987107944713
"X236107_at",0.959817622538466
"X1562056_at",0.921005045738357
"X212793_at",0.894305359870302
"X221919_at",0.883577942353865
"X213875_x_at",0.87526522087733
"X241722_x_at",0.866910035019478
"X230245_s_at",0.866349059097326
"X227722_at",0.852952333618574
"X234984_at",0.830189161036528
"X217148_x_at",0.82988964587078
"X223451_s_at",0.829066252367517
